Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response, StatusCode201)",,,,2022-12-21 16:03:12,2022-12-21 16:03:12,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/create book online/Create with invalid input""))",,,,2022-12-21 16:03:12,2022-12-21 16:03:13,0.397s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:03:13,2022-12-21 16:03:13,0.005s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/create book online/Create with invalid Token""))",,,,2022-12-21 16:03:13,2022-12-21 16:03:13,0.388s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:03:13,2022-12-21 16:03:13,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/create book online/With PATCH Method""))",,,,2022-12-21 16:03:13,2022-12-21 16:03:13,0.375s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:13,2022-12-21 16:03:13,0.001s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/create book online/With PUT Method""))",,,,2022-12-21 16:03:13,2022-12-21 16:03:14,0.438s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:14,2022-12-21 16:03:14,0.004s,PASSED
,,,,,,,
Test Cases/Booking/Offline Class/TC_GetAllClass,,,,2022-12-21 16:03:14,2022-12-21 16:03:16,1.929s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/See all boking class/get all booking class""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:03:14,2022-12-21 16:03:15,0.439s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:03:15,2022-12-21 16:03:15,0.004s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:03:15,2022-12-21 16:03:15,0.001s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:03:15,2022-12-21 16:03:15,0.002s,PASSED
Token = access_token,,,,2022-12-21 16:03:15,2022-12-21 16:03:15,0.001s,PASSED
globalVar = Token,,,,2022-12-21 16:03:15,2022-12-21 16:03:15,0.001s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/See all boking class/With PATCH Method""))",,,,2022-12-21 16:03:15,2022-12-21 16:03:15,0.417s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:15,2022-12-21 16:03:15,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/See all boking class/With POST Method""))",,,,2022-12-21 16:03:15,2022-12-21 16:03:15,0.364s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:03:15,2022-12-21 16:03:15,0.005s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/See all boking class/With PUT Method""))",,,,2022-12-21 16:03:15,2022-12-21 16:03:16,0.421s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:16,2022-12-21 16:03:16,0.004s,PASSED
,,,,,,,
Test Cases/Booking/Offline Class/TC_Update,,,,2022-12-21 16:03:16,2022-12-21 16:03:19,3.071s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with valid""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:03:16,2022-12-21 16:03:17,0.448s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:03:17,2022-12-21 16:03:17,0.004s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:03:17,2022-12-21 16:03:17,0.000s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:03:17,2022-12-21 16:03:17,0.001s,PASSED
Token = access_token,,,,2022-12-21 16:03:17,2022-12-21 16:03:17,0.001s,PASSED
globalVar = Token,,,,2022-12-21 16:03:17,2022-12-21 16:03:17,0.001s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/Update class with valid input""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:03:17,2022-12-21 16:03:17,0.424s,PASSED
"verifyResponseStatusCode(response, statuscode)",,,,2022-12-21 16:03:17,2022-12-21 16:03:17,0.001s,PASSED
